"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VENDOR";
"C1";"100V 47uF MLCC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"22uF 6.3V K7R MLCC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"0.1uF MLCC 100V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"1uF MLCC";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C21";"100nF 6V MLCC";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C22";"100nF 6V MLCC";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"EBW_SERIES_10.5";"EBW_SERIES_10.5MM";"EBW_SERIES_10.5MM";"EBW_SERIES_10.5MM";"";"";"";"";"";"";"";"";"";
"ESP-12";"ESP8266_ESP-12";"ESP8266_ESP-12";"ESP8266-ESP12";"";"";"";"";"";"";"";"";"";
"FTDI1";"FTDI-ESP";"MA06-1";"MA06-1";"PIN HEADER";"";"";"";"";"";"";"";"";
"LMP8481";"LMP8481-H";"LMP8481LMP8481-H";"S-PDSO-G08";"LMP8481MM-H/NOPB";"";"";"";"";"";"";"";"";
"LOGO1";"OSHW_LOGO_6MILX0200-NT";"OSHW_LOGO_6MILX0200-NT";"OSHW_6X200_NOTEXT";"";"";"";"";"unknown";"";"";"";"";
"MAX5033";"MAX5023TASA-T21-0111D_SBE-14-L";"MAX5023TASA-T21-0111D_SBE-14-L";"21-0111D_SBE-14-L";"VOLTAGE REGULATOR 3.3V";"max5033";"";"";"";"";"";"";"MAXIM";
"MCP3202";"MCP3202-BI/SN";"MCP3202-BI/SN";"SOIC127P600X175-8N";"IC ADC 12BIT 2.7V 2CH SPI,SOIC-8";"";"";"MCP3202-BI/SN";"1196803";"96K3721";"SOIC-8";"Microchip";"";
"R1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R2";"100K >70V";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"MCWR06X1003FTL";"";"";"";"";"";
"R3";"5.9K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";" MCWR06X5901FTL";"";"";"";"";"";
"R4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R5";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";" MCWR06X5901FTL";"";"";"";"";"";
"R6";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R7";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R9";"6.98k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";" MCWR06X5901FTL";"";"";"";"";"";
"R17";"5.6k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R18";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R19";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"RT9080";"RT9080-33GJ5";"RT9080-33GJ5";"TSOT-23-5";"Low-Dropout Regulator";"";"";"";"2679852";"";"SOT-23-5";"";"";
"S1";"DTSM-3";"DTSM-3";"DTSM-3";"";"";"";"";"";"";"";"";"";
"TFWF1-EBXX-1X0X";"MICRO-SD3";"MICRO-SD3";"TF-MICRO-SD_PP3*";"";"";"";"";"";"";"";"";"";
